id,category,score_name,score,notes,human_explanation,use_pop,use_emp,use_k12,use_tech,use_univ,use_doctor,use_dentist,use_hospital,use_pharmacy,use_retail,use_grocery,use_social_svcs,use_parks,use_trails,use_comm_ctrs,use_transit
103,Recreation,70th percentile score of parks access,0.0748,Score of parks accessible by low stress compared to parks accessible by high stress expressed as the 70th percentile of all census blocks in the neighborhood,"30% of census blocks in this neighborhood have low stress access to a higher ratio of parks within biking distance, 70% have access to a lower ratio.",,,,,,,,,,,,,,,,
104,Recreation,30th percentile score of parks access,0.0000,Score of parks accessible by low stress compared to parks accessible by high stress expressed as the 30th percentile of all census blocks in the neighborhood,"70% of census blocks in this neighborhood have low stress access to a higher ratio of parks within biking distance, 30% have access to a lower ratio.",,,,,,,,,,,,,,,,
105,Recreation,Average score of access to parks,0.3111,Average parks score for census blocks weighted by population.,"On average, census blocks in the neighborhood received this parks score.",,,,,,,,,,,,,t,,,
106,Recreation,Average parks bike shed access score,0.1326,Score of population with low stress access compared to total population within the bike shed distance of parks in the neighborhood expressed as an average of all parks in the neighborhood,"On average, parks in the neighborhood are connected by the low stress access to this percentage people within biking distance.",,,,,,,,,,,,,,,,
107,Recreation,Median parks population shed score,0.0995,Score of population with low stress access to parks in the neighborhood to total population within the bike shed of each parks expressed as a median of all parks in the neighborhood,"Half of parks in the neighborhood have low stress connections to a higher percentage of people within biking distance, half are connected to a lower percentage. (if only one parks exists this is the score for that one location)",,,,,,,,,,,,,,,,
108,Recreation,70th percentile parks population shed score,0.1632,Score of population with low stress access to parks in the neighborhood to total population within the bike shed of each parks expressed as the 70th percentile of all parks in the neighborhood,"30% of parks in the neighborhood have low stress connections to a higher percentage of people within biking distance, 70% are connected to a lower percentage. (if only one parks exists this is the score for that one location)",,,,,,,,,,,,,,,,
109,Recreation,30th percentile parks population shed score,0.0423,Score of population with low stress access to parks in the neighborhood to total population within the bike shed of each parks expressed as the 30th percentile of all parks in the neighborhood,"70% of parks in the neighborhood have low stress connections to a higher percentage of people within biking distance, 30% are connected to a lower percentage. (if only one parks exists this is the score for that one location)",,,,,,,,,,,,,,,,
110,Recreation,Average score of low stress access to trails,0.0000,Number of trails accessible by low stress expressed as an average of all census blocks in the neighborhood,"On average, census blocks in the neighborhood have low stress access to this many trails.",,,,,,,,,,,,,,,,
111,Recreation,Median score of trails access,0.0000,Score of trails accessible by low stress compared to trails accessible by high stress expressed as the median of all census blocks in the neighborhood,"Half of census blocks in this neighborhood have low stress access to a higher ratio of trails within biking distance, half have access to a lower ratio.",,,,,,,,,,,,,,,,
112,Recreation,70th percentile score of trails access,0.0000,Score of trails accessible by low stress compared to trails accessible by high stress expressed as the 70th percentile of all census blocks in the neighborhood,"30% of census blocks in this neighborhood have low stress access to a higher ratio of trails within biking distance, 70% have access to a lower ratio.",,,,,,,,,,,,,,,,
113,Recreation,30th percentile score of trails access,0.0000,Score of trails accessible by low stress compared to trails accessible by high stress expressed as the 30th percentile of all census blocks in the neighborhood,"70% of census blocks in this neighborhood have low stress access to a higher ratio of trails within biking distance, 30% have access to a lower ratio.",,,,,,,,,,,,,,,,
114,Recreation,Average score of access to trails,0.0665,Average trails score for census blocks weighted by population.,"On average, census blocks in the neighborhood received this trails score.",,,,,,,,,,,,,,t,,
115,Recreation,Average score of low stress access to community centers,0.0000,Number of community centers accessible by low stress expressed as an average of all census blocks in the neighborhood,"On average, census blocks in the neighborhood have low stress access to this many community centers.",,,,,,,,,,,,,,,,
116,Recreation,Median score of community centers access,0.0000,Score of community centers accessible by low stress compared to community centers accessible by high stress expressed as the median of all census blocks in the neighborhood,"Half of census blocks in this neighborhood have low stress access to a higher ratio of community centers within biking distance, half have access to a lower ratio.",,,,,,,,,,,,,,,,
117,Recreation,70th percentile score of community centers access,0.0000,Score of community centers accessible by low stress compared to community centers accessible by high stress expressed as the 70th percentile of all census blocks in the neighborhood,"30% of census blocks in this neighborhood have low stress access to a higher ratio of community centers within biking distance, 70% have access to a lower ratio.",,,,,,,,,,,,,,,,
118,Recreation,30th percentile score of community centers access,0.0000,Score of community centers accessible by low stress compared to community centers accessible by high stress expressed as the 30th percentile of all census blocks in the neighborhood,"70% of census blocks in this neighborhood have low stress access to a higher ratio of community centers within biking distance, 30% have access to a lower ratio.",,,,,,,,,,,,,,,,
119,Recreation,Average score of access to community centers,0.1668,Average community centers score for census blocks weighted by population.,"On average, census blocks in the neighborhood received this community centers score.",,,,,,,,,,,,,,,t,
120,Recreation,Average community centers bike shed access score,0.2392,Score of population with low stress access compared to total population within the bike shed distance of community centers in the neighborhood expressed as an average of all community centers in the neighborhood,"On average, community centers in the neighborhood are connected by the low stress access to this percentage people within biking distance.",,,,,,,,,,,,,,,,
121,Recreation,Median community centers population shed score,0.2767,Score of population with low stress access to community centers in the neighborhood to total population within the bike shed of each community centers expressed as a median of all community centers in the neighborhood,"Half of community centers in the neighborhood have low stress connections to a higher percentage of people within biking distance, half are connected to a lower percentage. (if only one community centers exists this is the score for that one location)",,,,,,,,,,,,,,,,
122,Recreation,70th percentile community centers population shed score,0.2799,Score of population with low stress access to community centers in the neighborhood to total population within the bike shed of each community centers expressed as the 70th percentile of all community centers in the neighborhood,"30% of community centers in the neighborhood have low stress connections to a higher percentage of people within biking distance, 70% are connected to a lower percentage. (if only one community centers exists this is the score for that one location)",,,,,,,,,,,,,,,,
123,Recreation,30th percentile community centers population shed score,0.2304,Score of population with low stress access to community centers in the neighborhood to total population within the bike shed of each community centers expressed as the 30th percentile of all community centers in the neighborhood,"70% of community centers in the neighborhood have low stress connections to a higher percentage of people within biking distance, 30% are connected to a lower percentage. (if only one community centers exists this is the score for that one location)",,,,,,,,,,,,,,,,
124,Transit,Average score of low stress access to transit,0.0000,Number of transit stations accessible by low stress expressed as an average of all census blocks in the neighborhood,"On average, census blocks in the neighborhood have low stress access to this many transit stations.",,,,,,,,,,,,,,,,
125,Transit,Median score of transit access,0.0000,Score of transit stations accessible by low stress compared to transit stations accessible by high stress expressed as the median of all census blocks in the neighborhood,"Half of census blocks in this neighborhood have low stress access to a higher ratio of transit stations within biking distance, half have access to a lower ratio.",,,,,,,,,,,,,,,,
126,Transit,70th percentile score of transit access,0.0000,Score of transit stations accessible by low stress compared to transit stations accessible by high stress expressed as the 70th percentile of all census blocks in the neighborhood,"30% of census blocks in this neighborhood have low stress access to a higher ratio of transit stations within biking distance, 70% have access to a lower ratio.",,,,,,,,,,,,,,,,
127,Transit,30th percentile score of transit access,0.0000,Score of transit stations accessible by low stress compared to transit stations accessible by high stress expressed as the 30th percentile of all census blocks in the neighborhood,"70% of census blocks in this neighborhood have low stress access to a higher ratio of transit stations within biking distance, 30% have access to a lower ratio.",,,,,,,,,,,,,,,,
128,Transit,Average score of access to transit,0.0158,Average transit score for census blocks weighted by population.,"On average, census blocks in the neighborhood received this transit score.",,,,,,,,,,,,,,,,t
129,Transit,Average transit bike shed access score,0.0158,Score of population with low stress access compared to total population within the bike shed distance of transit stations in the neighborhood expressed as an average of all transit stations in the neighborhood,"On average, transit stations in the neighborhood are connected by the low stress access to this percentage people within biking distance.",,,,,,,,,,,,,,,,
130,Transit,Median transit population shed score,0.0158,Score of population with low stress access to transit stations in the neighborhood to total population within the bike shed of each transit stations expressed as a median of all transit stations in the neighborhood,"Half of transit stations in the neighborhood have low stress connections to a higher percentage of people within biking distance, half are connected to a lower percentage. (if only one transit station exists this is the score for that one location)",,,,,,,,,,,,,,,,
131,Transit,70th percentile transit population shed score,0.0158,Score of population with low stress access to transit stations in the neighborhood to total population within the bike shed of each transit stations expressed as the 70th percentile of all transit stations in the neighborhood,"30% of transit stations in the neighborhood have low stress connections to a higher percentage of people within biking distance, 70% are connected to a lower percentage. (if only one transit station exists this is the score for that one location)",,,,,,,,,,,,,,,,
132,Transit,30th percentile transit population shed score,0.0158,Score of population with low stress access to transit stations in the neighborhood to total population within the bike shed of each transit stations expressed as the 30th percentile of all transit stations in the neighborhood,"70% of transit stations in the neighborhood have low stress connections to a higher percentage of people within biking distance, 30% are connected to a lower percentage. (if only one transit station exists this is the score for that one location)",,,,,,,,,,,,,,,,
